Distance_(pixels),Gray_Value
0,1.5789
1,1.7368
2,1.8421
3,2.3947
4,2.9211
5,3.6579
6,4.6579
7,4.6316
8,5.3684
9,6.2895
10,6.6579
11,7.9474
12,10.8421
13,12.9737
14,15.0263
15,17.8421
16,21.7368
17,24.3421
18,26.8684
19,27.1053
20,26.3421
21,27.7368
22,26.7895
23,26.4211
24,22.2895
25,16.5263
26,12.9474
27,10.3421
28,9.6316
29,8.6579
30,6.9474
31,6.2632
32,6.1316
33,5.5263
34,4.6842
35,4.2895
36,3.6842
37,3.4474
38,3.7105
39,3.3421
40,2.7895
41,2.5000
42,2.3947
