Distance_(pixels),Gray_Value
0,0.5658
1,0.6447
2,0.6316
3,0.6447
4,0.6184
5,0.7895
6,0.8684
7,1.0395
8,1.1184
9,1.3026
10,1.5000
11,1.6447
12,1.9211
13,2.1053
14,2.2105
15,2.5395
16,2.8289
17,2.8026
18,2.7105
19,2.7763
20,3.2105
21,3.1053
22,3.0000
23,3.2895
24,3.3816
25,3.7368
26,4.0658
27,4.5000
28,5.1711
29,5.7105
30,6.1447
31,7.1447
32,8.0263
33,9.3947
34,11.3158
35,13.7500
36,16.8553
37,21.0658
38,27.3553
39,31.7368
40,33.9868
41,35.0000
42,36.6579
43,37.2632
44,37.0000
45,38.0263
46,35.7105
47,34.8026
48,31.1579
49,24.8289
50,18.6711
51,15.4605
52,12.6974
53,11.5526
54,10.5526
55,8.6711
56,7.6447
57,7.0921
58,6.0921
59,5.4342
60,4.8816
61,4.3816
62,4.4342
63,3.8684
64,3.4342
65,3.4211
66,3.0921
67,2.7500
68,2.5132
69,2.2237
70,1.8816
71,1.6447
72,1.3421
73,1.1447
74,1.1974
75,1.1711
76,1.2500
77,1.4605
78,1.5526
79,1.7237
80,1.6184
81,1.5921
82,1.5395
83,1.4868
84,1.4474
85,1.3421
86,1.2500
87,1.3289
88,1.5395
89,1.5789
90,1.3947
91,1.6184
92,1.4474
93,1.2632
