Distance_(pixels),Gray_Value
0,2.0000
1,2.0364
2,2.3273
3,2.6182
4,2.7818
5,2.9818
6,3.2545
7,3.4727
8,4.0545
9,4.7091
10,4.8909
11,5.0545
12,5.6182
13,5.5636
14,5.6909
15,6.4182
16,6.8727
17,7.3636
18,8.1273
19,9.2182
20,11.0545
21,13.4000
22,16.6364
23,18.7636
24,22.8727
25,28.1091
26,35.9455
27,44.2545
28,51.1818
29,55.5636
30,55.4545
31,56.3818
32,57.9818
33,57.4909
34,57.4727
35,54.8909
36,49.2545
37,42.0727
38,33.1818
39,25.6000
40,20.4545
41,17.1636
42,15.0909
43,12.7091
44,11.3091
45,10.3091
46,9.0909
47,7.8545
48,6.8727
49,6.3818
50,6.2000
51,5.7636
52,5.3273
53,5.1091
54,5.0545
55,4.2364
56,3.8000
57,3.5818
58,3.4364
59,3.0182
60,3.3091
61,3.0182
62,2.7091
63,2.4000
