Distance_(pixels),Gray_Value
0,1.7414
1,2.0690
2,2.3103
3,2.6379
4,2.3966
5,2.6207
6,2.6034
7,2.9310
8,3.3276
9,4.0000
10,4.3448
11,4.2586
12,4.4483
13,5.0172
14,5.6034
15,5.8448
16,6.4483
17,6.6724
18,7.5690
19,8.8966
20,10.4310
21,12.2759
22,13.7414
23,16.8966
24,21.9310
25,27.3103
26,34.7759
27,41.2414
28,43.3621
29,44.1724
30,40.8448
31,39.4310
32,39.8966
33,40.2069
34,40.1724
35,36.3793
36,29.2414
37,24.0345
38,18.5862
39,15.5345
40,12.6034
41,10.8966
42,9.3966
43,8.3276
44,7.8103
45,7.2931
46,6.7586
47,5.9655
48,5.3793
49,5.2414
50,5.0862
51,5.3621
52,4.7759
53,4.2931
54,3.3793
55,3.2069
56,3.2241
57,2.9310
58,2.3276
59,1.9138
60,1.7586
61,1.5345
62,1.5862
63,1.6207
64,1.4655
65,1.4828
