Distance_(pixels),Gray_Value
0,4.0833
1,3.8333
2,3.8611
3,4.6389
4,5.7778
5,5.8333
6,6.9722
7,8.2778
8,8.9167
9,9.8889
10,11.4722
11,13.6389
12,16.3889
13,20.5833
14,25.3889
15,31.5278
16,39.2222
17,43.8889
18,46.8056
19,51.5278
20,50.5000
21,49.2222
22,43.6389
23,37.6667
24,29.2778
25,23.4444
26,18.9167
27,15.4444
28,13.4722
29,11.5000
30,9.7222
31,9.0278
32,8.0833
33,7.9167
34,7.8333
35,7.0278
36,6.2222
37,5.2778
38,4.5556
39,4.6389
40,4.0833
41,3.5000
42,3.3056
