Distance_(pixels),Gray_Value
0,1.9014
1,2.0000
2,2.0423
3,2.3662
4,2.8310
5,3.3521
6,3.4225
7,3.9296
8,3.6620
9,3.4507
10,3.6620
11,3.8873
12,3.9014
13,4.3803
14,4.8310
15,5.2535
16,5.7183
17,6.0000
18,6.5352
19,7.1268
20,7.9155
21,9.1549
22,10.6620
23,12.7324
24,15.0000
25,17.7042
26,22.4366
27,29.4225
28,38.2113
29,44.9437
30,48.8732
31,51.0000
32,50.9437
33,50.7324
34,50.4366
35,47.0986
36,44.2113
37,40.7606
38,33.4225
39,28.3099
40,22.6901
41,17.7606
42,14.8592
43,13.1268
44,11.6479
45,10.0563
46,8.6620
47,7.8873
48,6.9718
49,6.4225
50,5.5070
51,5.3099
52,4.9296
53,4.5211
54,4.1831
55,3.8169
56,3.4366
57,3.2958
58,3.0845
59,2.6901
60,2.4507
61,2.4085
62,2.5775
63,2.3521
64,2.2394
65,2.2817
66,2.4366
67,2.3944
68,2.1972
69,2.0423
70,1.8310
71,1.9859
72,2.1127
73,1.8873
