Distance_(pixels),Gray_Value
0,1.9787
1,2.2766
2,2.7234
3,3.2553
4,2.9149
5,2.9574
6,3.2553
7,3.5106
8,3.9787
9,4.8298
10,4.8085
11,5.6383
12,5.8298
13,6.3830
14,6.2128
15,6.5319
16,7.3617
17,8.2340
18,9.1702
19,9.6809
20,10.9149
21,13.1064
22,15.3404
23,18.1489
24,23.6809
25,30.7447
26,36.7021
27,45.6383
28,49.0426
29,54.6809
30,58.4894
31,60.2979
32,56.7660
33,52.2340
34,48.7234
35,43.6383
36,39.4681
37,35.0851
38,28.6383
39,22.7447
40,19.3617
41,16.8298
42,14.2766
43,12.6809
44,11.0213
45,9.6809
46,8.0426
47,6.3830
48,5.6809
49,5.9362
50,5.4468
51,4.7872
52,4.7021
53,4.1064
54,3.6596
55,3.4043
56,2.8298
57,2.6170
58,2.2128
59,2.1702
