Distance_(pixels),Gray_Value
0,0.3968
1,0.5714
2,0.8571
3,1.2698
4,1.4127
5,1.6825
6,1.6825
7,1.9365
8,2.0317
9,2.2381
10,2.4286
11,2.6825
12,2.6190
13,2.5714
14,2.9048
15,2.6508
16,2.6825
17,2.8730
18,3.1746
19,3.8571
20,3.7778
21,3.8571
22,4.0159
23,4.4762
24,4.9683
25,5.5238
26,6.1905
27,6.7619
28,7.2540
29,7.6508
30,8.6349
31,10.6508
32,13.2063
33,17.1429
34,21.5556
35,26.1905
36,28.8730
37,28.0476
38,28.3968
39,31.5397
40,30.9841
41,30.4444
42,29.5556
43,26.8571
44,23.5397
45,19.2857
46,16.1905
47,15.0159
48,12.6984
49,10.1270
50,8.4762
51,7.6032
52,6.6190
53,6.0635
54,5.4603
55,4.8571
56,4.1111
57,3.7778
58,3.6667
59,3.5873
60,3.2063
61,2.9365
62,2.5714
63,2.4444
64,2.3651
65,1.8889
66,1.4286
67,1.1746
68,1.0476
69,0.9206
70,0.8889
71,0.8889
72,1.1111
73,1.2857
74,1.1429
75,0.9683
76,1.0159
77,0.9683
78,1.0000
79,0.9048
80,0.9524
81,0.8889
82,0.8889
83,0.8413
