Distance_(pixels),Gray_Value
0,0.4865
1,0.5811
2,0.7568
3,0.8243
4,0.8108
5,1.0135
6,1.2162
7,1.4730
8,1.1081
9,1.0000
10,1.0811
11,1.1622
12,1.3378
13,1.4459
14,1.7568
15,2.1757
16,2.2297
17,2.2838
18,2.7703
19,2.7432
20,3.0270
21,3.1486
22,3.2703
23,3.7568
24,3.6757
25,4.0405
26,4.4595
27,5.7432
28,7.7973
29,9.8919
30,11.6216
31,13.3784
32,13.9054
33,14.1486
34,13.7432
35,12.8378
36,13.0811
37,12.3514
38,10.3514
39,8.8378
40,6.8784
41,5.2838
42,4.5270
43,3.3784
44,2.9054
45,2.6216
46,2.5946
47,2.7432
48,2.2027
49,1.4054
50,1.1351
51,0.7838
52,0.8514
53,0.7568
54,0.6892
55,0.7027
56,0.6216
57,0.5135
58,0.6351
59,0.5946
60,0.5541
61,0.7027
62,0.8243
63,0.6486
64,0.5000
65,0.3649
66,0.2973
67,0.3784
68,0.5676
69,0.6486
70,0.7568
71,0.5676
