Distance_(pixels),Gray_Value
0,3.4464
1,3.7679
2,3.7500
3,4.2500
4,4.1607
5,4.5714
6,4.8571
7,5.2679
8,6.2143
9,6.2679
10,6.4643
11,7.1071
12,7.7143
13,8.4107
14,9.1786
15,10.5893
16,11.8393
17,13.6964
18,15.8750
19,18.9286
20,22.6071
21,28.6429
22,38.1429
23,48.6250
24,55.6607
25,59.6786
26,61.6250
27,62.2321
28,63.5714
29,64.7143
30,64.8750
31,62.5000
32,58.8750
33,51.7321
34,38.8214
35,28.9821
36,23.5536
37,20.2500
38,17.5357
39,15.5536
40,13.7500
41,12.0357
42,11.3393
43,10.0179
44,8.3036
45,6.8393
46,6.0179
47,5.5536
48,5.1964
49,4.6964
50,4.3036
51,3.9286
52,3.7500
53,3.5714
54,3.3393
55,2.9286
