Distance_(pixels),Gray_Value
0,2.2154
1,2.2615
2,2.5077
3,2.8154
4,3.1385
5,3.3846
6,3.4308
7,3.5692
8,4.1231
9,4.2615
10,4.5538
11,5.0462
12,5.6923
13,6.5077
14,6.6000
15,6.4923
16,7.1846
17,7.8462
18,8.5077
19,9.5846
20,10.3231
21,11.6000
22,13.1692
23,15.3077
24,18.6769
25,22.3231
26,30.1692
27,39.2923
28,45.6923
29,53.3385
30,55.9692
31,57.0769
32,56.5385
33,54.6154
34,52.2615
35,49.9846
36,46.8923
37,42.2308
38,33.7077
39,26.1077
40,21.3077
41,17.2615
42,14.1385
43,12.5846
44,11.3846
45,10.2769
46,9.1385
47,8.1077
48,7.1538
49,5.8923
50,5.5077
51,5.2769
52,4.9231
53,4.6923
54,4.4769
55,4.2000
56,4.4462
57,4.4154
58,3.5538
59,3.0000
60,2.7692
61,2.6308
62,2.4615
63,2.3231
64,2.3692
65,2.3538
66,2.5385
67,2.4000
68,2.1846
