Distance_(pixels),Gray_Value
0,3.6786
1,4.3036
2,4.1429
3,4.7321
4,4.6071
5,4.6250
6,4.8750
7,5.3571
8,5.7143
9,6.2857
10,6.9286
11,7.9286
12,9.1429
13,10.6071
14,12.8750
15,13.9464
16,15.8214
17,17.6429
18,19.9286
19,24.6786
20,32.0536
21,44.1250
22,53.7857
23,59.9821
24,63.8750
25,63.8571
26,66.4107
27,65.9643
28,64.8929
29,61.1607
30,56.7500
31,49.4821
32,40.3214
33,30.0000
34,23.8214
35,19.0357
36,16.8214
37,15.3036
38,12.8929
39,11.2500
40,9.9821
41,8.8571
42,7.1071
43,6.0357
44,5.8750
45,6.0000
46,6.0536
47,5.1607
48,4.6607
49,4.5357
50,4.6071
51,4.7321
52,4.0179
53,3.8214
54,3.5179
55,2.8393
56,2.2857
57,2.1429
58,2.4286
