Distance_(pixels),Gray_Value
0,3.7400
1,3.4200
2,3.4400
3,3.8000
4,4.5200
5,5.4200
6,5.8200
7,6.4600
8,6.6400
9,7.4600
10,8.8400
11,9.7600
12,11.2200
13,13.8800
14,18.6800
15,24.4000
16,30.7400
17,34.9800
18,37.6400
19,37.5000
20,40.4200
21,42.7400
22,41.1000
23,36.6000
24,32.5200
25,26.9600
26,22.1400
27,17.1400
28,13.2800
29,11.3200
30,9.6200
31,8.4000
32,7.3200
33,6.6200
34,6.2400
35,5.7400
36,5.0800
37,4.8600
38,4.7000
39,4.5200
40,4.4000
41,3.8200
42,3.2600
43,2.9000
44,2.6800
45,2.4400
46,2.1600
