Distance_(pixels),Gray_Value
0,3.1311
1,3.4426
2,3.7541
3,3.6230
4,3.4262
5,3.3443
6,3.5082
7,3.5902
8,3.6557
9,3.9836
10,4.3279
11,4.8852
12,5.0656
13,5.3934
14,5.7541
15,6.7213
16,7.6721
17,8.0656
18,8.6721
19,9.9344
20,11.2459
21,11.7377
22,12.4426
23,14.3279
24,15.8852
25,18.0492
26,20.4590
27,23.1148
28,27.9508
29,33.0000
30,40.7869
31,52.6066
32,64.1311
33,70.9016
34,73.3771
35,74.0328
36,74.3443
37,73.2787
38,69.4098
39,61.7869
40,49.5246
41,36.8361
42,29.2131
43,24.7049
44,22.1148
45,19.7377
46,17.5082
47,14.8361
48,12.5574
49,11.3279
50,10.0000
51,8.9672
52,7.9508
53,7.0984
54,6.1639
55,5.7705
56,5.3934
57,5.1967
58,4.9344
59,4.7541
60,4.5082
61,4.1311
62,3.6721
63,3.4098
64,3.1803
