Distance_(pixels),Gray_Value
0,1.9254
1,2.1642
2,1.9254
3,1.8209
4,1.7164
5,1.8060
6,1.9254
7,2.1045
8,2.2388
9,2.2985
10,2.5522
11,2.8507
12,3.0746
13,3.6269
14,4.1343
15,4.5522
16,5.1194
17,5.8806
18,6.5672
19,7.2985
20,8.5075
21,9.7612
22,10.9403
23,13.2985
24,16.5522
25,21.8806
26,24.2388
27,26.3582
28,27.5672
29,28.0149
30,29.6866
31,30.5373
32,29.9701
33,29.6866
34,26.2836
35,22.8209
36,18.3284
37,15.0896
38,12.3731
39,9.9701
40,8.7612
41,8.3433
42,7.7612
43,6.2388
44,5.6269
45,5.1642
46,4.5075
47,3.9701
48,4.2239
49,4.7612
50,4.8209
51,4.1194
52,3.2537
53,2.6866
54,2.6866
55,2.7015
56,2.6866
57,2.0746
58,1.7761
59,1.4776
60,1.3284
61,0.9701
62,0.9104
63,1.0299
64,1.1791
65,1.1045
