Distance_(pixels),Gray_Value
0,1.8529
1,2.1912
2,2.3676
3,2.7794
4,2.8088
5,3.1176
6,3.1471
7,3.2059
8,3.5000
9,4.0441
10,4.5147
11,4.4559
12,4.8676
13,5.0147
14,5.5294
15,5.5882
16,5.7206
17,6.1176
18,6.9412
19,8.0294
20,9.5294
21,11.2647
22,13.5588
23,16.0294
24,20.3971
25,25.6765
26,31.1176
27,37.5441
28,41.9853
29,41.3235
30,40.2206
31,40.4853
32,37.5882
33,38.6912
34,38.3824
35,35.8529
36,30.4118
37,24.7794
38,19.5147
39,17.1176
40,14.5147
41,12.5735
42,10.8824
43,10.0000
44,8.6029
45,7.5882
46,6.7794
47,6.0588
48,5.6029
49,4.7206
50,4.5441
51,4.1176
52,3.7647
53,3.4118
54,2.8235
55,2.8382
56,2.7500
57,2.5882
58,2.5147
59,2.2941
60,1.9706
61,1.7941
62,1.7647
63,2.0000
64,2.1765
65,2.4265
66,2.6324
67,2.7206
68,2.4412
