Distance_(pixels),Gray_Value
0,2.7381
1,3.3810
2,3.0714
3,3.1190
4,3.1190
5,3.2857
6,3.6190
7,4.1429
8,4.2619
9,4.7143
10,4.6905
11,5.2381
12,6.5476
13,8.0000
14,8.8810
15,9.5238
16,10.6190
17,12.5238
18,15.0952
19,16.4048
20,18.6905
21,21.8333
22,27.5952
23,34.2857
24,43.2381
25,50.2143
26,55.7619
27,58.6667
28,63.6190
29,62.2381
30,61.4762
31,53.8333
32,46.7381
33,38.0238
34,29.3333
35,23.0952
36,18.5000
37,15.3095
38,13.0238
39,11.9524
40,11.3095
41,9.1905
42,7.7619
43,6.8333
44,5.9762
45,5.5714
46,4.9762
47,4.7143
48,4.4762
49,4.4524
50,4.4286
51,4.0714
52,3.5238
