Distance_(pixels),Gray_Value
0,1.1000
1,0.8000
2,0.8143
3,0.6429
4,0.4857
5,0.8429
6,0.9571
7,0.8286
8,0.7571
9,0.7857
10,0.9000
11,1.0000
12,1.0143
13,1.4857
14,1.7143
15,1.6143
16,1.6571
17,1.7000
18,1.8286
19,1.9857
20,2.2429
21,2.2571
22,2.5000
23,3.1000
24,3.2429
25,3.5571
26,4.2714
27,4.5429
28,4.5571
29,4.7571
30,5.0429
31,5.1714
32,5.8286
33,6.6000
34,8.3286
35,9.3714
36,11.5143
37,14.1286
38,18.1143
39,21.1143
40,22.5143
41,24.0857
42,24.1286
43,24.7286
44,22.9571
45,23.4571
46,24.6000
47,22.8571
48,19.9143
49,16.4571
50,13.1714
51,11.2714
52,9.2714
53,8.6143
54,7.5000
55,6.5286
56,5.4571
57,5.1857
58,5.1571
59,4.3571
60,3.7429
61,3.3571
62,3.1857
63,3.2429
64,2.8571
65,2.7571
66,2.9714
67,3.1429
68,2.4286
69,1.8000
70,1.4714
71,1.4714
72,1.2000
73,0.9143
74,0.9143
