Distance_(pixels),Gray_Value
0,0.7397
1,1.0137
2,1.0822
3,0.9452
4,1.1096
5,1.0685
6,1.0548
7,1.2329
8,1.4384
9,1.6301
10,1.4247
11,1.3836
12,1.5616
13,1.8767
14,2.0274
15,2.0137
16,2.3425
17,2.5890
18,2.7123
19,3.0548
20,3.2877
21,3.5342
22,4.3562
23,4.8082
24,5.0685
25,5.5616
26,6.3699
27,7.5205
28,8.8493
29,11.3836
30,14.0000
31,18.0822
32,22.4795
33,24.2466
34,24.2192
35,23.8630
36,23.4247
37,21.7123
38,19.4658
39,18.8767
40,17.6986
41,14.9315
42,13.0137
43,11.4521
44,9.5890
45,8.3151
46,7.4247
47,6.4110
48,5.7945
49,4.5890
50,3.7808
51,3.4932
52,2.6575
53,2.2329
54,2.2055
55,1.9041
56,1.8630
57,1.7260
58,1.7534
59,1.5068
60,1.5616
61,1.4658
62,1.5068
63,1.4384
64,1.2603
65,0.9452
66,1.0274
67,1.1918
68,1.0000
69,1.2603
70,1.2192
71,1.0822
72,1.1233
73,1.2466
74,1.4658
75,1.4110
76,1.4384
77,1.7808
