Distance_(pixels),Gray_Value
0,0.00000
1,0.04167
2,0.00000
3,0.04167
4,0.02083
5,0.08333
6,0.08333
7,0.10417
8,0.16667
9,0.18750
10,0.27083
11,0.37500
12,0.56250
13,0.75000
14,0.89583
15,0.70833
16,0.83333
17,1.16667
18,1.10417
19,1.06250
20,1.52083
21,1.47917
22,1.14583
23,1.06250
24,0.93750
25,0.91667
26,1.16667
27,1.70833
28,2.97917
29,3.22917
30,3.04167
31,3.43750
32,3.79167
33,4.00000
34,3.04167
35,2.93750
36,3.64583
37,4.31250
38,4.41667
39,4.54167
40,3.68750
41,2.68750
42,1.83333
43,1.31250
44,1.47917
45,1.20833
46,1.04167
47,1.16667
48,0.87500
49,0.56250
50,0.50000
51,0.22917
52,0.27083
53,0.29167
54,0.47917
55,0.54167
56,0.33333
57,0.20833
58,0.27083
59,0.29167
60,0.35417
61,0.14583
62,0.14583
63,0.08333
64,0.12500
65,0.18750
66,0.25000
67,0.29167
68,0.27083
