Distance_(pixels),Gray_Value
0,0.6582
1,0.4557
2,0.5696
3,0.7089
4,0.7468
5,0.6709
6,0.6962
7,0.7975
8,0.9241
9,1.0633
10,1.2025
11,1.5316
12,1.7215
13,1.9114
14,2.2405
15,2.8354
16,2.7468
17,2.5949
18,2.8481
19,3.4177
20,3.5823
21,3.2025
22,3.2025
23,3.4937
24,3.7722
25,4.1899
26,4.4430
27,5.0127
28,5.4557
29,6.3797
30,7.7848
31,9.4177
32,10.6582
33,12.7089
34,15.5190
35,19.4810
36,21.7342
37,23.4684
38,24.3418
39,24.6709
40,24.8734
41,23.8354
42,23.0127
43,20.9747
44,19.6076
45,17.1899
46,14.1139
47,12.0253
48,10.5696
49,8.4430
50,7.1646
51,6.7722
52,6.3165
53,5.3291
54,5.0253
55,4.3418
56,3.6582
57,3.2152
58,2.9494
59,3.0127
60,2.8481
61,2.7722
62,2.3924
63,2.0886
64,2.0380
65,1.9114
66,1.5949
67,1.2658
68,1.1646
69,0.9241
70,0.9114
71,1.0506
72,1.0759
73,0.9873
74,1.1139
75,1.0506
76,1.1266
77,1.0633
78,1.2532
79,1.2025
80,1.3924
