Distance_(pixels),Gray_Value
0,0.4677
1,0.7419
2,0.9194
3,0.8710
4,0.9032
5,1.1935
6,1.4032
7,1.6452
8,1.3710
9,1.4032
10,1.3871
11,1.5000
12,1.5645
13,1.7581
14,1.9355
15,2.1129
16,2.4355
17,2.8871
18,2.9355
19,3.0806
20,3.3387
21,3.6774
22,4.5484
23,5.6290
24,6.7742
25,7.4032
26,8.9194
27,11.3871
28,15.3710
29,18.6290
30,22.3871
31,25.3226
32,25.0000
33,24.6935
34,26.3871
35,25.5161
36,25.2419
37,24.1613
38,21.0161
39,17.2903
40,15.0484
41,12.2258
42,10.1774
43,8.1774
44,6.4839
45,5.6935
46,5.3871
47,4.3710
48,3.7581
49,3.2581
50,2.5484
51,2.0645
52,1.9677
53,1.8871
54,1.8871
55,1.7258
56,1.9677
57,1.7903
58,1.6774
59,1.5323
60,1.2258
61,1.1774
62,1.2258
63,1.2258
64,1.1613
65,0.9355
66,1.0968
67,1.5000
68,1.7097
69,1.7742
70,1.4032
71,1.2742
72,1.3871
