Distance_(pixels),Gray_Value
0,0.2833
1,0.3500
2,0.6000
3,0.6667
4,0.9167
5,1.3833
6,1.1333
7,0.9833
8,0.9667
9,1.1333
10,1.2000
11,1.4000
12,1.7333
13,2.2833
14,1.9833
15,1.8833
16,2.0833
17,1.9667
18,1.9500
19,1.9833
20,2.2667
21,2.6333
22,3.1333
23,3.8167
24,3.7667
25,4.1000
26,4.7500
27,4.9667
28,5.6333
29,6.2000
30,6.7000
31,8.4167
32,10.7500
33,13.5333
34,16.7000
35,19.5333
36,18.3167
37,18.4333
38,19.2667
39,17.1833
40,16.4667
41,15.3667
42,14.8667
43,12.1500
44,9.8667
45,8.3833
46,7.5333
47,6.6000
48,5.9167
49,4.8667
50,4.3000
51,3.8167
52,3.2500
53,2.6833
54,2.3667
55,2.4167
56,2.1500
57,1.9500
58,2.1667
59,1.8000
60,1.6333
61,1.3500
62,1.5833
63,1.7667
64,1.7000
65,1.0833
66,0.8500
67,0.6000
68,0.5000
69,0.5000
70,0.4833
71,0.7000
72,1.0333
73,1.1000
74,1.0167
