Distance_(pixels),Gray_Value
0,2.8548
1,3.2742
2,3.2097
3,3.4516
4,3.5000
5,3.4032
6,3.8710
7,4.5161
8,4.6935
9,5.0806
10,5.0161
11,5.4194
12,5.3871
13,5.5806
14,5.6935
15,6.1290
16,6.9032
17,7.5323
18,7.8387
19,8.9677
20,9.6613
21,10.5161
22,11.9839
23,14.0484
24,16.1774
25,19.3387
26,23.4516
27,31.1129
28,40.1129
29,47.8064
30,50.1290
31,51.6936
32,53.0000
33,56.5645
34,57.1936
35,56.0484
36,51.9839
37,47.9839
38,42.9839
39,35.0968
40,27.0484
41,21.2581
42,16.9677
43,13.9032
44,12.3710
45,10.9355
46,9.7581
47,8.8226
48,7.9516
49,6.8065
50,5.9516
51,5.3710
52,4.8710
53,4.7581
54,4.4839
55,4.9516
56,4.2097
57,4.0806
58,4.2097
59,4.4032
60,3.8065
61,3.1613
62,2.9355
63,2.6935
64,2.3065
65,2.3065
66,2.1613
67,2.2097
68,2.0323
69,2.0806
70,1.9194
71,1.9355
72,2.0323
73,2.1129
74,2.2258
