Distance_(pixels),Gray_Value
0,1.1449
1,1.0870
2,1.1449
3,1.4058
4,1.7536
5,1.8551
6,2.1159
7,2.2319
8,2.3768
9,2.5072
10,2.5652
11,2.8261
12,2.8406
13,3.0145
14,3.1739
15,3.1449
16,3.2754
17,3.6667
18,3.9855
19,4.4638
20,4.6812
21,5.1304
22,5.4348
23,5.7826
24,6.3478
25,7.0000
26,7.7971
27,8.7246
28,9.7971
29,11.1449
30,13.1014
31,15.4348
32,17.6232
33,21.9855
34,29.0870
35,36.4783
36,44.3043
37,49.5072
38,50.0290
39,48.0725
40,47.8696
41,47.9710
42,46.9565
43,43.9275
44,39.2609
45,33.4348
46,26.7391
47,21.4783
48,18.1449
49,14.1739
50,11.9565
51,10.5797
52,9.6812
53,8.6377
54,7.7971
55,6.3768
56,5.2029
57,4.5217
58,4.2319
59,4.2319
60,4.0435
61,3.7391
62,3.6957
63,3.5797
64,3.2899
65,2.9275
66,2.5797
67,2.2899
68,2.2899
69,1.8406
70,1.5797
71,1.4928
72,1.5507
73,1.8406
74,2.2464
75,2.0580
76,1.9420
77,1.8116
78,1.7971
79,1.8116
80,1.8696
81,1.6522
