Distance_(pixels),Gray_Value
0,0.3378
1,0.2432
2,0.2027
3,0.1892
4,0.1351
5,0.2162
6,0.1486
7,0.1622
8,0.2162
9,0.2838
10,0.2568
11,0.2838
12,0.3108
13,0.5270
14,0.4324
15,0.5676
16,0.8108
17,0.9865
18,0.9730
19,0.8784
20,1.0405
21,1.2973
22,1.4459
23,1.4054
24,1.3649
25,1.6351
26,1.8649
27,2.0135
28,2.5541
29,2.7838
30,2.9595
31,3.3243
32,3.7432
33,3.7297
34,3.8108
35,4.3649
36,4.7703
37,5.5676
38,6.4054
39,8.0270
40,10.1351
41,11.5541
42,13.5135
43,14.8514
44,15.8108
45,17.1351
46,15.9189
47,15.1216
48,15.1757
49,15.1216
50,12.8649
51,10.7703
52,9.0811
53,6.7297
54,5.2838
55,4.9054
56,4.3649
57,3.7568
58,3.1216
59,2.9730
60,2.7297
61,2.4324
62,2.0946
63,1.8649
64,2.4189
65,3.1351
66,3.1757
67,2.8784
68,2.1216
69,1.8243
70,1.6622
71,1.6216
72,1.4054
73,1.3784
74,1.2703
75,0.7027
76,0.6351
77,0.5270
78,0.6757
79,1.0000
80,1.1757
81,1.2568
82,0.9324
83,0.9595
84,1.0270
85,0.9595
86,0.7838
