Distance_(pixels),Gray_Value
0,3.2542
1,3.4915
2,3.9831
3,3.9661
4,4.0847
5,4.3220
6,4.9322
7,5.1695
8,5.7288
9,6.4237
10,7.3729
11,7.7119
12,8.6780
13,9.9661
14,10.8814
15,12.7458
16,15.0169
17,17.5085
18,19.5085
19,23.7119
20,31.5593
21,40.6441
22,49.8475
23,54.9831
24,54.8983
25,54.3051
26,54.8983
27,54.1186
28,53.5932
29,51.4576
30,48.3051
31,41.3729
32,31.8814
33,23.9492
34,20.4576
35,16.9492
36,13.8305
37,12.5763
38,11.6441
39,10.7966
40,10.1356
41,8.1525
42,6.8644
43,5.4068
44,4.8475
45,4.5763
46,4.3729
47,3.8814
48,3.6441
49,3.2373
50,3.2034
51,3.1864
52,2.8475
53,2.2542
54,1.9322
