Distance_(pixels),Gray_Value
0,2.0968
1,2.0806
2,2.1774
3,2.1290
4,2.5323
5,2.8387
6,3.2903
7,3.3710
8,3.2419
9,3.4032
10,3.7419
11,4.5323
12,4.8226
13,5.2581
14,5.9516
15,5.9677
16,6.0968
17,6.2419
18,6.6129
19,7.4194
20,8.2742
21,9.1774
22,9.8065
23,10.7419
24,12.2742
25,13.8871
26,16.6452
27,20.4032
28,27.5484
29,36.4355
30,44.3064
31,49.8871
32,50.0645
33,50.0645
34,53.6129
35,53.2742
36,52.0645
37,49.7419
38,46.8710
39,39.6452
40,32.0161
41,25.5645
42,20.9516
43,17.0806
44,14.3065
45,12.6452
46,11.3065
47,10.0968
48,9.2581
49,7.7581
50,6.6129
51,5.8387
52,5.3548
53,5.2581
54,5.0323
55,4.5968
56,4.2258
57,3.9355
58,3.8065
59,3.6290
60,3.6290
61,3.3065
62,3.0484
63,2.5968
64,2.2581
65,2.3065
66,2.2903
67,2.4355
68,2.2581
69,1.9677
70,1.8871
71,1.7419
