Distance_(pixels),Gray_Value
0,3.1132
1,3.4906
2,3.9434
3,4.1321
4,4.2453
5,4.5849
6,5.0943
7,5.1132
8,5.5472
9,5.9434
10,6.6981
11,7.7358
12,9.1698
13,9.8302
14,10.2453
15,11.4528
16,12.8868
17,15.0377
18,17.3019
19,19.2830
20,22.6981
21,28.9245
22,38.9057
23,50.2453
24,61.5660
25,67.3019
26,68.5094
27,69.6415
28,71.1509
29,70.6604
30,68.2830
31,66.0189
32,61.9434
33,49.9434
34,41.6604
35,31.3208
36,24.5472
37,18.9811
38,16.3019
39,14.4528
40,13.2453
41,11.5283
42,10.4528
43,9.5660
44,7.7170
45,6.4151
46,6.3585
47,5.9245
48,5.5660
49,5.1509
50,5.3962
51,4.8868
52,4.8113
53,4.4340
54,4.0189
55,3.6604
56,3.0755
57,2.3585
