Distance_(pixels),Gray_Value
0,2.0847
1,2.2203
2,2.5932
3,2.9322
4,3.1864
5,3.3390
6,3.5593
7,4.1695
8,4.6271
9,4.6102
10,4.7458
11,5.0678
12,5.4915
13,6.2542
14,7.6610
15,8.6610
16,8.2034
17,8.5085
18,9.2712
19,10.2712
20,11.2881
21,12.7288
22,14.8983
23,17.0169
24,19.4915
25,24.4915
26,33.4915
27,43.6441
28,51.3220
29,55.6102
30,54.9831
31,54.9322
32,57.3729
33,56.9661
34,58.7458
35,53.2034
36,47.7119
37,38.2881
38,32.7966
39,26.8644
40,21.0678
41,17.1356
42,15.0000
43,13.3220
44,11.5932
45,9.7627
46,8.5932
47,7.4407
48,6.6441
49,5.3898
50,5.3220
51,5.2542
52,4.8983
53,4.3559
54,3.8136
55,3.3390
56,3.1525
57,2.8983
58,2.5593
59,2.2542
60,1.9831
61,1.8305
62,1.5424
63,1.4407
64,1.3898
65,1.5593
66,1.7966
67,1.6271
68,1.7288
69,1.7458
70,1.6780
