Distance_(pixels),Gray_Value
0,0.5286
1,0.4143
2,0.4429
3,0.4571
4,0.4429
5,0.3857
6,0.3571
7,0.4571
8,0.4143
9,0.4571
10,0.4714
11,0.3857
12,0.5000
13,0.6571
14,0.6857
15,0.8143
16,0.8857
17,1.0714
18,1.1571
19,1.3000
20,1.4429
21,1.6143
22,2.0000
23,2.2143
24,2.5143
25,2.6143
26,2.7714
27,2.8571
28,3.2286
29,3.0286
30,3.1143
31,3.2714
32,3.5857
33,3.9571
34,4.6143
35,4.8857
36,5.3000
37,6.1286
38,7.0429
39,8.2000
40,9.3143
41,10.1000
42,11.7429
43,14.8286
44,19.6857
45,25.7571
46,29.8714
47,31.0429
48,32.5857
49,32.9000
50,36.1286
51,35.9571
52,35.3143
53,32.8286
54,31.6000
55,29.3857
56,24.4571
57,19.3286
58,15.3143
59,12.4143
60,10.9429
61,9.6286
62,8.6143
63,7.3857
64,6.1286
65,5.2143
66,4.1571
67,3.4429
68,3.2571
69,3.2429
70,3.5000
71,3.3000
72,3.1000
73,2.8000
74,2.6143
75,2.2000
76,1.9000
77,1.7000
78,1.7143
79,1.6000
80,1.1714
81,1.1286
82,1.0571
83,1.2429
84,1.3143
85,1.2429
86,1.4143
87,1.2714
88,1.2857
89,1.4000
90,1.4857
91,1.6143
92,1.5571
93,1.5714
94,1.2571
95,1.1000
