Distance_(pixels),Gray_Value
0,3.0938
1,3.0625
2,3.1094
3,3.3594
4,3.8906
5,4.1562
6,4.4219
7,4.8750
8,5.0938
9,5.0312
10,5.2969
11,6.2500
12,6.6094
13,6.9531
14,7.5469
15,8.3125
16,9.4062
17,10.2656
18,11.6094
19,13.6719
20,16.5625
21,20.6719
22,25.7812
23,35.1406
24,41.8125
25,46.9062
26,49.7188
27,48.3906
28,48.6094
29,46.7031
30,45.1250
31,45.8125
32,43.3438
33,34.6406
34,25.6719
35,19.1094
36,15.5312
37,13.2344
38,12.0625
39,10.9062
40,9.3125
41,8.0469
42,7.0469
43,6.4688
44,6.0469
45,5.3594
46,5.3125
47,4.7188
48,4.2031
49,3.9375
50,4.1875
51,3.7188
52,3.5938
53,3.3125
54,2.8594
55,2.5938
56,2.4844
57,2.4062
58,1.9219
59,1.8906
60,1.9844
