Distance_(pixels),Gray_Value
0,0.7971
1,1.1739
2,1.4348
3,1.3043
4,1.2029
5,1.1304
6,1.1014
7,1.1159
8,1.3188
9,1.5362
10,1.6667
11,1.8551
12,2.0870
13,2.3333
14,2.2899
15,2.2464
16,2.3043
17,2.4203
18,2.6667
19,2.9130
20,3.1304
21,3.5362
22,4.0145
23,4.8841
24,5.6377
25,6.5362
26,7.3188
27,8.2464
28,8.7536
29,10.4493
30,12.5942
31,15.8696
32,20.5217
33,22.6087
34,25.3188
35,26.1159
36,26.5797
37,28.8406
38,26.3913
39,24.3478
40,21.7246
41,19.7971
42,17.2754
43,15.3043
44,12.8841
45,10.9855
46,8.8406
47,7.6667
48,6.7246
49,6.2899
50,6.1594
51,5.6667
52,4.9855
53,4.0000
54,3.7536
55,3.4058
56,3.1594
57,3.0870
58,3.3188
59,3.4348
60,2.7101
61,2.4348
62,2.3043
63,2.3623
64,2.4638
65,2.6522
66,2.3913
67,2.0725
68,1.5942
69,1.5797
70,1.2174
71,1.3333
72,1.2029
73,1.1449
74,1.2174
75,1.2319
76,1.2174
77,1.2319
78,1.4203
