Distance_(pixels),Gray_Value
0,0.6857
1,0.8571
2,1.0571
3,1.1857
4,1.5000
5,1.7429
6,1.5714
7,1.5571
8,1.8857
9,1.8857
10,1.9714
11,2.0000
12,2.1000
13,2.0857
14,2.1571
15,2.4000
16,2.5143
17,2.7286
18,2.9286
19,3.2571
20,3.5714
21,4.0286
22,4.6143
23,5.0857
24,5.6000
25,6.0714
26,7.0429
27,8.5143
28,9.5429
29,11.7571
30,13.5000
31,16.8857
32,21.1000
33,24.7286
34,27.2000
35,28.4857
36,29.4429
37,31.2714
38,34.2857
39,34.2714
40,34.3000
41,32.0286
42,29.4571
43,24.7857
44,18.7857
45,14.5143
46,12.2143
47,10.4000
48,9.7714
49,8.9714
50,8.2286
51,8.0429
52,7.9286
53,7.0286
54,5.9286
55,5.0286
56,4.6143
57,4.3857
58,4.7286
59,4.4143
60,4.2714
61,4.3000
62,4.2714
63,4.3000
64,3.6286
65,3.1714
66,2.9143
67,2.5571
68,2.5143
69,2.7286
70,2.2714
71,2.1286
72,2.8714
73,2.6429
74,2.2000
