Distance_(pixels),Gray_Value
0,1.5417
1,1.1667
2,1.3611
3,1.5972
4,1.6944
5,1.6806
6,1.7500
7,1.9028
8,2.1944
9,2.1528
10,2.5278
11,2.9861
12,3.2778
13,3.5417
14,3.6250
15,4.0278
16,4.5417
17,4.8889
18,5.5833
19,5.4028
20,5.8056
21,6.7500
22,6.7361
23,6.3194
24,6.2917
25,6.6806
26,7.4583
27,8.5972
28,9.7639
29,10.6944
30,11.8333
31,13.9861
32,17.0417
33,21.3889
34,27.3333
35,35.0833
36,42.3194
37,46.1667
38,48.1806
39,50.0278
40,51.0972
41,50.3194
42,48.8889
43,47.8333
44,45.4167
45,39.3056
46,30.1528
47,23.0139
48,18.8333
49,16.6528
50,13.8889
51,11.7500
52,10.4306
53,9.0694
54,7.9444
55,7.1944
56,6.4444
57,5.5556
58,4.7917
59,4.6389
60,4.5694
61,4.3750
62,4.0000
63,3.4722
64,3.4028
65,3.2361
66,2.9722
67,2.9583
68,2.9583
69,2.7778
70,2.3889
71,2.2639
72,1.8750
73,1.8611
74,2.0278
75,2.0000
76,2.0972
77,2.1111
78,2.1806
79,1.9861
80,1.9167
81,1.8333
82,1.6667
83,1.6389
84,1.7222
