Distance_(pixels),Gray_Value
0,3.9057
1,4.4528
2,4.5849
3,5.0755
4,5.4528
5,6.0189
6,7.0566
7,7.2075
8,7.6981
9,8.3962
10,8.9057
11,10.6226
12,12.3585
13,13.4717
14,15.2453
15,16.7547
16,19.7170
17,25.1132
18,31.9811
19,40.6038
20,46.8113
21,50.7925
22,53.3962
23,52.2453
24,53.1321
25,54.3396
26,50.1132
27,46.2075
28,42.8868
29,35.8679
30,27.8302
31,22.2642
32,17.6981
33,14.5849
34,12.6981
35,11.1509
36,10.8679
37,9.9245
38,8.3962
39,7.0943
40,5.5094
41,4.7547
42,4.4151
43,4.5849
44,4.5283
45,4.2642
46,4.6604
47,3.9623
48,3.9245
49,3.3585
50,2.8679
51,2.4151
