Distance_(pixels),Gray_Value
0,0.5556
1,0.2698
2,0.2063
3,0.2222
4,0.2222
5,0.3333
6,0.3333
7,0.1905
8,0.4127
9,0.4762
10,0.6349
11,0.6508
12,0.7619
13,1.0476
14,1.2381
15,1.2063
16,1.4127
17,1.4127
18,1.7143
19,1.6984
20,1.7937
21,1.7778
22,1.9524
23,2.3968
24,3.1429
25,3.9524
26,3.8413
27,3.9524
28,4.1429
29,4.7460
30,5.2381
31,6.3651
32,9.3175
33,10.6032
34,9.9048
35,9.8571
36,9.9048
37,9.4762
38,9.4444
39,9.9048
40,9.7460
41,9.7778
42,10.1111
43,8.9365
44,7.9206
45,7.0794
46,6.0635
47,4.6984
48,4.2540
49,4.1905
50,4.0476
51,3.3333
52,2.8413
53,2.8889
54,2.2381
55,1.9206
56,1.9365
57,2.2063
58,2.2222
59,1.7143
60,1.3492
61,1.0000
62,0.7937
63,0.7937
64,0.6667
65,0.4921
66,0.4762
67,0.4762
68,0.4762
69,0.6667
70,0.4921
71,0.3968
72,0.5714
73,0.4921
74,0.5556
75,0.5397
76,0.6984
