Distance_(pixels),Gray_Value
0,3.8776
1,4.2857
2,4.7551
3,4.6939
4,4.8163
5,5.3061
6,6.3469
7,6.5918
8,6.8367
9,7.3673
10,8.3061
11,9.7143
12,11.3061
13,13.3469
14,15.0612
15,17.4898
16,20.2245
17,24.3878
18,29.6939
19,38.5918
20,50.1429
21,61.5306
22,66.6735
23,69.0204
24,68.4694
25,70.9796
26,65.4082
27,61.2041
28,55.3673
29,46.0816
30,37.8776
31,30.0816
32,23.9184
33,20.6531
34,17.9592
35,16.2245
36,13.7143
37,11.9388
38,9.8571
39,8.5102
40,7.5306
41,6.3061
42,5.8367
43,6.2245
44,6.6327
45,6.4898
46,5.7755
47,4.4490
48,3.7347
49,3.5510
50,3.3469
51,3.0204
