Distance_(pixels),Gray_Value
0,3.1167
1,3.1333
2,3.2667
3,3.4667
4,3.9000
5,4.1833
6,4.7500
7,5.4833
8,5.7167
9,5.9500
10,6.2667
11,6.7167
12,7.2833
13,8.3833
14,9.9667
15,11.7667
16,13.6000
17,16.5167
18,18.5500
19,22.9833
20,29.5333
21,38.1167
22,43.1000
23,44.8333
24,47.2333
25,46.8833
26,47.5833
27,46.9167
28,44.5333
29,45.6167
30,42.6500
31,34.1500
32,28.8333
33,22.3333
34,18.3500
35,14.7167
36,13.1833
37,11.8667
38,10.1500
39,9.1000
40,8.7833
41,7.4333
42,6.0333
43,5.3333
44,5.2500
45,4.7333
46,4.3333
47,4.0000
48,3.8000
49,3.2167
50,3.2167
51,3.0500
52,2.9500
53,2.6667
54,2.5667
55,2.1500
56,1.6667
57,1.5667
58,1.4833
59,1.5833
