Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-20,3.74,0,1
-19,3.42,0,1
-18,3.44,0,1
-17,3.8,0,1
-16,4.52,0,1
-15,5.42,0,1
-14,5.82,0,1
-13,6.46,0,1
-12,6.64,0,1
-11,7.46,0,1
-10,8.84,0,1
-9,9.76,0,1
-8,11.22,0,1
-7,13.88,0,1
-6,18.68,0,1
-5,24.4,0,1
-4,30.74,0,1
-3,34.98,0,1
-2,37.64,0,1
-1,37.5,0,1
0,40.42,0,1
1,42.74,0,1
2,41.1,0,1
3,36.6,0,1
4,32.52,0,1
5,26.96,0,1
6,22.14,0,1
7,17.14,0,1
8,13.28,0,1
9,11.32,0,1
10,9.62,0,1
11,8.4,0,1
12,7.32,0,1
13,6.62,0,1
14,6.24,0,1
15,5.74,0,1
16,5.08,0,1
17,4.86,0,1
18,4.7,0,1
19,4.52,0,1
20,4.4,0,1
21,3.82,0,1
22,3.26,0,1
23,2.9,0,1
24,2.68,0,1
25,2.44,0,1
26,2.16,0,1
