section,n_gauss,param,value
best_model,2,baseline,-50.7368999867
best_model,2,baseline_error,1094.913177
best_model,2,rss,28.1102474119
best_model,2,aic,-4.2778349579
best_model,2,bic,8.05056585195
best_model,2,sigma_x,1
best_model,2,chi2,221.405555464
best_model,2,dof,36
best_model,2,chi2_reduced,6.15015431846
best_model,2,gauss_1_amplitude,22.3048563784
best_model,2,gauss_1_amplitude_error,1.4361139405
best_model,2,gauss_1_mu,19.8386033217
best_model,2,gauss_1_mu_error,0.114602897291
best_model,2,gauss_1_sigma,4.4716903255
best_model,2,gauss_1_sigma_error,0.208683813699
best_model,2,gauss_2_amplitude,56.9365667348
best_model,2,gauss_2_amplitude_error,1093.56378104
best_model,2,gauss_2_mu,21.4917441167
best_model,2,gauss_2_mu_error,0.628849650808
best_model,2,gauss_2_sigma,52.5119586796
best_model,2,gauss_2_sigma_error,531.742772074

section,n_gauss,param,value
candidate_model,2,baseline,-50.7368999867
candidate_model,2,baseline_error,1094.913177
candidate_model,2,rss,28.1102474119
candidate_model,2,aic,-4.2778349579
candidate_model,2,bic,8.05056585195
candidate_model,2,sigma_x,1
candidate_model,2,chi2,221.405555464
candidate_model,2,dof,36
candidate_model,2,chi2_reduced,6.15015431846
