section,n_gauss,param,value
best_model,2,baseline,0.000572614460111
best_model,2,baseline_error,0.0377158771452
best_model,2,rss,0.460334858499
best_model,2,aic,-192.210861588
best_model,2,bic,-179.564224159
best_model,2,sigma_x,1
best_model,2,chi2,3071.31338906
best_model,2,dof,38
best_model,2,chi2_reduced,80.8240365541
best_model,2,gauss_1_amplitude,1.78539482649
best_model,2,gauss_1_amplitude_error,0.0522326055297
best_model,2,gauss_1_mu,22.2121232291
best_model,2,gauss_1_mu_error,0.156287737481
best_model,2,gauss_1_sigma,5.61171103347
best_model,2,gauss_1_sigma_error,0.215606191408
best_model,2,gauss_2_amplitude,0.108758936195
best_model,2,gauss_2_amplitude_error,0.0766415450349
best_model,2,gauss_2_mu,39.5381630294
best_model,2,gauss_2_mu_error,1.56070175537
best_model,2,gauss_2_sigma,2.03290240989
best_model,2,gauss_2_sigma_error,1.70146053147

section,n_gauss,param,value
candidate_model,2,baseline,0.000572614460111
candidate_model,2,baseline_error,0.0377158771452
candidate_model,2,rss,0.460334858499
candidate_model,2,aic,-192.210861588
candidate_model,2,bic,-179.564224159
candidate_model,2,sigma_x,1
candidate_model,2,chi2,3071.31338906
candidate_model,2,dof,38
candidate_model,2,chi2_reduced,80.8240365541
