Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
0,0.58696,0,1
1,0.69565,0,1
2,1.04348,0,1
3,1.54348,0,1
4,1.84783,0,1
5,1.67391,0,1
6,2.15217,0,1
7,2.3913,0,1
8,2.78261,0,1
9,2.71739,0,1
10,3.30435,0,1
11,4.67391,0,1
12,5.5,0,1
13,5.93478,0,1
14,6.71739,0,1
15,6.67391,0,1
16,6.45652,0,1
17,5.82609,0,1
18,4.6087,0,1
19,4.23913,0,1
20,4.30435,0,1
21,3.65217,0,1
22,3,0,1
23,2.86957,0,1
24,2.30435,0,1
25,2.13043,0,1
26,1.91304,0,1
27,1.56522,0,1
28,1.3913,0,1
29,1.54348,0,1
30,1.71739,0,1
31,1.91304,0,1
32,1.30435,0,1
33,1.28261,0,1
34,1.36957,0,1
35,0.8913,0,1
