Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-20,1.5789,0,1
-19,1.7368,0,1
-18,1.8421,0,1
-17,2.3947,0,1
-16,2.9211,0,1
-15,3.6579,0,1
-14,4.6579,0,1
-13,4.6316,0,1
-12,5.3684,0,1
-11,6.2895,0,1
-10,6.6579,0,1
-9,7.9474,0,1
-8,10.8421,0,1
-7,12.9737,0,1
-6,15.0263,0,1
-5,17.8421,0,1
-4,21.7368,0,1
-3,24.3421,0,1
-2,26.8684,0,1
-1,27.1053,0,1
0,26.3421,0,1
1,27.7368,0,1
2,26.7895,0,1
3,26.4211,0,1
4,22.2895,0,1
5,16.5263,0,1
6,12.9474,0,1
7,10.3421,0,1
8,9.6316,0,1
9,8.6579,0,1
10,6.9474,0,1
11,6.2632,0,1
12,6.1316,0,1
13,5.5263,0,1
14,4.6842,0,1
15,4.2895,0,1
16,3.6842,0,1
17,3.4474,0,1
18,3.7105,0,1
19,3.3421,0,1
20,2.7895,0,1
21,2.5,0,1
22,2.3947,0,1
