Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-27,2.7381,0,1
-26,3.381,0,1
-25,3.0714,0,1
-24,3.119,0,1
-23,3.119,0,1
-22,3.2857,0,1
-21,3.619,0,1
-20,4.1429,0,1
-19,4.2619,0,1
-18,4.7143,0,1
-17,4.6905,0,1
-16,5.2381,0,1
-15,6.5476,0,1
-14,8,0,1
-13,8.881,0,1
-12,9.5238,0,1
-11,10.619,0,1
-10,12.5238,0,1
-9,15.0952,0,1
-8,16.4048,0,1
-7,18.6905,0,1
-6,21.8333,0,1
-5,27.5952,0,1
-4,34.2857,0,1
-3,43.2381,0,1
-2,50.2143,0,1
-1,55.7619,0,1
0,58.6667,0,1
1,63.619,0,1
2,62.2381,0,1
3,61.4762,0,1
4,53.8333,0,1
5,46.7381,0,1
6,38.0238,0,1
7,29.3333,0,1
8,23.0952,0,1
9,18.5,0,1
10,15.3095,0,1
11,13.0238,0,1
12,11.9524,0,1
13,11.3095,0,1
14,9.1905,0,1
15,7.7619,0,1
16,6.8333,0,1
17,5.9762,0,1
18,5.5714,0,1
19,4.9762,0,1
20,4.7143,0,1
21,4.4762,0,1
22,4.4524,0,1
23,4.4286,0,1
24,4.0714,0,1
25,3.5238,0,1
