section,n_gauss,param,value
best_model,2,baseline,1.96146951598
best_model,2,baseline_error,0.169575415356
best_model,2,rss,23.6441559928
best_model,2,aic,-18.2904861967
best_model,2,bic,-5.33945298475
best_model,2,sigma_x,1
best_model,2,chi2,104257107.219
best_model,2,dof,40
best_model,2,chi2_reduced,2606427.68048
best_model,2,gauss_1_amplitude,16.216400905
best_model,2,gauss_1_amplitude_error,0.346444220469
best_model,2,gauss_1_mu,23.6558072189
best_model,2,gauss_1_mu_error,0.109590496256
best_model,2,gauss_1_sigma,4.73517296663
best_model,2,gauss_1_sigma_error,0.13005026067
best_model,2,gauss_2_amplitude,1.04752120684e-11
best_model,2,gauss_2_amplitude_error,0.785000678213
best_model,2,gauss_2_mu,1.00894221452e-11
best_model,2,gauss_2_mu_error,0
best_model,2,gauss_2_sigma,0.500000093191
best_model,2,gauss_2_sigma_error,0

section,n_gauss,param,value
candidate_model,2,baseline,1.96146951598
candidate_model,2,baseline_error,0.169575415356
candidate_model,2,rss,23.6441559928
candidate_model,2,aic,-18.2904861967
candidate_model,2,bic,-5.33945298475
candidate_model,2,sigma_x,1
candidate_model,2,chi2,104257107.219
candidate_model,2,dof,40
candidate_model,2,chi2_reduced,2606427.68048
