Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-16,5.25566666667,2.983472226,3
-15,5.95876666667,3.42839256261,3
-14,6.65286666667,3.8269375646,3
-13,7.2068,4.05168568746,3
-12,8.23973333333,4.60933258329,3
-11,9.66523333333,5.49627957925,3
-10,11.2113666667,6.22331000862,3
-9,12.5678333333,7.17419112467,3
-8,14.0968,8.10225839319,3
-7,16.2901,9.86802053301,3
-6,19.9551333333,13.5608835495,3
-5,25.2435666667,18.4231688996,3
-4,32.5338,24.5450213585,3
-3,36.5127,27.5503067872,3
-2,38.5269,28.7231324516,3
-1,39.5554,28.7715532586,3
0,42.4959,30.8871553065,3
1,41.5895333333,29.6990499269,3
2,40.3486333333,28.049650953,3
3,37.8373,24.9100268264,3
4,34.7538,20.9488779833,3
5,31.6439,16.9357242913,3
6,27.659,11.0579324935,3
7,23.5570333333,5.32053548276,3
8,21.6207333333,2.87664832111,3
9,21.5042666667,5.70403466007,3
10,22.5448333333,11.4222321682,3
11,24.1369666667,16.9665777484,3
12,25.6257666667,22.3144037138,3
13,25.1929666667,25.0331256579,3
14,24.1676333333,25.8032852196,3
15,23.4767,26.0945714414,3
16,23.3687333333,27.670879715,3
17,22.1030333333,27.4906099258,3
18,21.5732333333,28.0160588953,3
19,20.6507,26.9115677561,3
20,19.4259666667,25.7151690818,3
21,15.636,19.7590778641,3
22,12.5795666667,15.0018895198,3
23,10.4654,12.1129429756,3
24,9.14286666667,10.2708146051,3
25,7.96183333333,8.50700639787,3
26,7.00436666667,7.33438172877,3
