Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-18,0.701596666667,0.490561087871,3
-17,0.76853,0.505463871211,3
-16,0.85235,0.500372530521,3
-15,0.84571,0.371161642954,3
-14,0.93985,0.424286260324,3
-13,1.20684333333,0.459335337889,3
-12,1.24470333333,0.391004430964,3
-11,1.60202666667,0.411674404394,3
-10,1.94635333333,0.666732007806,3
-9,1.92706333333,0.741886201943,3
-8,1.88359333333,0.728242901396,3
-7,1.88952,0.954491056166,3
-6,2.07364,1.30824227882,3
-5,2.55680333333,1.83934973706,3
-4,3.37611666667,2.86537424174,3
-3,3.73856,3.31709386546,3
-2,4.12111333333,3.01386644512,3
-1,4.67773333333,2.82907223395,3
0,5.24994666667,3.06509197332,3
1,5.10186333333,2.5717303627,3
2,5.01332333333,2.60489500843,3
3,5.22869666667,2.61453585526,3
4,5.60912,2.52807998396,3
5,5.76490666667,2.41968857181,3
6,6.00477666667,1.7659474691,3
7,5.45428,0.525063316849,3
8,4.88257,0.823535624791,3
9,4.82612,1.49786422352,3
10,4.61220666667,1.69917345631,3
11,4.2935,1.70494900689,3
12,4.15025666667,2.37338148593,3
13,3.67069333333,2.93146113584,3
14,3.29564666667,3.11329512254,3
15,3.15306,3.31780719952,3
16,2.95637666667,3.23365215276,3
17,2.40831666667,2.50866455694,3
18,2.05474,2.20073195712,3
19,1.64747666667,1.47672527189,3
20,1.22846666667,0.895870986322,3
21,0.94234,0.558210818509,3
22,0.767043333333,0.507091961712,3
23,0.64058,0.394531276453,3
24,0.57585,0.402840379927,3
25,0.48302,0.273891023584,3
26,0.42216,0.231101751832,3
27,0.43296,0.259732615588,3
28,0.424966666667,0.286764283748,3
29,0.316476666667,0.174043072351,3
30,0.311646666667,0.173541847787,3
31,0.382053333333,0.412873632282,3
32,0.41077,0.496622787536,3
33,0.288183333333,0.33331208804,3
34,0.206116666667,0.223963569433,3
