Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
0,0.02222,0,1
1,0,0,1
2,0.02222,0,1
3,0.04444,0,1
4,0.02222,0,1
5,0.02222,0,1
6,0.04444,0,1
7,0.06667,0,1
8,0.04444,0,1
9,0.15556,0,1
10,0.13333,0,1
11,0.2,0,1
12,0.24444,0,1
13,0.46667,0,1
14,0.64444,0,1
15,0.91111,0,1
16,0.93333,0,1
17,1.06667,0,1
18,1.53333,0,1
19,1.51111,0,1
20,1.75556,0,1
21,1.71111,0,1
22,1.42222,0,1
23,1.77778,0,1
24,1.55556,0,1
25,1.71111,0,1
26,1.82222,0,1
27,1.24444,0,1
28,0.95556,0,1
29,0.86667,0,1
30,0.6,0,1
31,0.48889,0,1
32,0.35556,0,1
33,0.28889,0,1
34,0.15556,0,1
35,0.08889,0,1
36,0.04444,0,1
37,0.11111,0,1
38,0.2,0,1
39,0.11111,0,1
40,0.08889,0,1
41,0.06667,0,1
42,0.06667,0,1
43,0.06667,0,1
44,0.04444,0,1
