Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-23,3.7073,0,1
-22,3.4878,0,1
-21,3.3659,0,1
-20,3.9512,0,1
-19,4.4634,0,1
-18,4.1463,0,1
-17,4.7561,0,1
-16,5.0488,0,1
-15,5.4146,0,1
-14,5.7561,0,1
-13,6.3659,0,1
-12,7.3659,0,1
-11,8.6098,0,1
-10,9.439,0,1
-9,10.7561,0,1
-8,11.6098,0,1
-7,14.0976,0,1
-6,17.7805,0,1
-5,21.9268,0,1
-4,28.122,0,1
-3,32.5854,0,1
-2,34.878,0,1
-1,36.2927,0,1
0,38.9024,0,1
1,40.122,0,1
2,41.0488,0,1
3,38.4878,0,1
4,28.8537,0,1
5,23.2195,0,1
6,18.8049,0,1
7,14.3171,0,1
8,11.8537,0,1
9,10.5854,0,1
10,10.0976,0,1
11,9.9024,0,1
12,8.0976,0,1
13,7,0,1
14,6.439,0,1
15,5.9268,0,1
16,4.9756,0,1
17,4.6341,0,1
18,4.3659,0,1
19,3.9512,0,1
20,3.5122,0,1
21,3.3659,0,1
22,2.9756,0,1
23,2.4634,0,1
24,2.3415,0,1
