Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
0,11.7842666667,19.3594933054,3
1,11.7879,19.3174458063,3
2,11.3666666667,18.3911702657,3
3,10.8912,17.4452093885,3
4,10.7963666667,17.0254611574,3
5,10.0582666667,15.5927806104,3
6,8.71463333333,13.437780939,3
7,7.26626666667,10.8551371287,3
8,6.18716666667,8.75559241704,3
9,5.5758,7.66201295809,3
10,4.86553333333,6.35622712411,3
11,4.4414,5.68425214342,3
12,3.97436666667,4.70071390358,3
13,3.38606666667,3.56186325163,3
14,3.12196666667,3.03595709017,3
15,3.07143333333,2.6572519947,3
16,2.8,2.07197598683,3
17,2.62563333333,1.50539335834,3
18,2.53626666667,1.23082617917,3
19,2.66263333333,1.1832667169,3
20,2.96373333333,1.3259083993,3
21,3.16303333333,1.34433948217,3
22,3.25093333333,1.31077155269,3
23,3.41283333333,1.49331127811,3
24,3.66886666667,1.6830561379,3
25,3.93626666667,1.8664980909,3
26,4.24066666667,2.42776196595,3
27,4.63663333333,3.3619340525,3
28,4.97,3.99757930628,3
29,5.55933333333,5.39740939371,3
30,6.16373333333,6.38344704242,3
31,7.46263333333,8.17718479327,3
32,8.90036666667,10.5943263412,3
33,10.2183,12.6055361318,3
34,11.2047666667,13.9235659284,3
35,11.6930333333,14.6294279223,3
