section,n_gauss,param,value
best_model,2,baseline,1.75730462205
best_model,2,baseline_error,0.187406280978
best_model,2,rss,10.8327102601
best_model,2,aic,-33.6906032563
best_model,2,bic,-22.2275001382
best_model,2,sigma_x,1
best_model,2,chi2,2349.03879194
best_model,2,dof,31
best_model,2,chi2_reduced,75.7754449011
best_model,2,gauss_1_amplitude,17.1509466903
best_model,2,gauss_1_amplitude_error,0.276012327186
best_model,2,gauss_1_mu,18.2149928949
best_model,2,gauss_1_mu_error,0.0824566455455
best_model,2,gauss_1_sigma,5.07212300979
best_model,2,gauss_1_sigma_error,0.11325133148
best_model,2,gauss_2_amplitude,5.16243857695e-11
best_model,2,gauss_2_amplitude_error,0.619752756153
best_model,2,gauss_2_mu,2.40302247457e-13
best_model,2,gauss_2_mu_error,0
best_model,2,gauss_2_sigma,0.500000005894
best_model,2,gauss_2_sigma_error,0

section,n_gauss,param,value
candidate_model,2,baseline,1.75730462205
candidate_model,2,baseline_error,0.187406280978
candidate_model,2,rss,10.8327102601
candidate_model,2,aic,-33.6906032563
candidate_model,2,bic,-22.2275001382
candidate_model,2,sigma_x,1
candidate_model,2,chi2,2349.03879194
candidate_model,2,dof,31
candidate_model,2,chi2_reduced,75.7754449011
