Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-24,4.1269,0.344497126258,3
-23,4.20393333333,0.209293199444,3
-22,4.4866,0.354550010577,3
-21,4.6653,0.32993100794,3
-20,5.10283333333,0.400136505874,3
-19,5.3852,0.264282367932,3
-18,6.0319,0.309221781251,3
-17,6.4985,0.0855633683301,3
-16,7.23653333333,0.352049177436,3
-15,7.79306666667,0.471617793699,3
-14,8.7147,0.428131370026,3
-13,10.0001333333,0.304280829717,3
-12,11.4558333333,0.662122000339,3
-11,13.4909,0.826561800472,3
-10,15.5393666667,0.866856922066,3
-9,17.8061,0.531735206658,3
-8,20.5243333333,1.19431908774,3
-7,24.7599,1.27543059788,3
-6,30.7244,0.947957704753,3
-5,39.5786333333,1.02840712917,3
-4,49.9901333333,0.147960478958,3
-3,58.9579,3.49168331468,3
-2,62.2372666667,6.40181453678,3
-1,63.7485,8.19671109104,3
0,63.2892333333,7.33317501109,3
1,64.1594,8.87989462325,3
2,62.0338,7.35855577406,3
3,59.0539,6.7818559016,3
4,54.8174666667,6.25559909388,3
5,48.1848333333,8.07174773165,3
6,39.2863333333,8.20055752332,3
7,31.4702666667,8.30295691265,3
8,24.9786666667,5.13397949873,3
9,20.8341,3.97848914916,3
10,17.2032333333,3.06547578091,3
11,14.9002666667,2.01914359651,3
12,12.9994666667,1.17436971322,3
13,11.7051333333,0.817152968136,3
14,10.4909,0.867830438507,3
15,9.23423333333,1.57403375546,3
16,7.79166666667,1.08169205106,3
17,6.2843,0.866805624117,3
18,5.7014,0.794933097814,3
19,5.7136,0.986622283349,3
20,5.6552,1.16032378671,3
21,5.3304,1.32809591521,3
22,4.8932,1.11203559745,3
23,4.17543333333,0.83563799778,3
24,3.67936666667,0.450853882465,3
25,3.57913333333,0.407528960116,3
26,3.3448,0.496253332483,3
27,3.0382,0.7930498345,3
