Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
0,2,0,1
1,1.8182,0,1
2,2.0909,0,1
3,2.3409,0,1
4,2.7727,0,1
5,3.0455,0,1
6,3.2727,0,1
7,3.5455,0,1
8,4.0227,0,1
9,4.7955,0,1
10,5.4773,0,1
11,7,0,1
12,8.3864,0,1
13,10.3409,0,1
14,13.5682,0,1
15,16.1591,0,1
16,20.4773,0,1
17,23.6818,0,1
18,27.1591,0,1
19,32.5909,0,1
20,32.0682,0,1
21,29.6591,0,1
22,30.8182,0,1
23,25.9318,0,1
24,21.5227,0,1
25,16.7955,0,1
26,14.1591,0,1
27,12.0682,0,1
28,10.0455,0,1
29,8.9773,0,1
30,8.25,0,1
31,8.1364,0,1
32,7.9318,0,1
33,7.4318,0,1
34,5.8636,0,1
35,5.0682,0,1
36,4.4318,0,1
37,4.5682,0,1
38,4.0909,0,1
39,3.5909,0,1
40,3.1136,0,1
41,2.5682,0,1
42,2.3636,0,1
43,2.1818,0,1
