Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-18,1.1765,0,1
-17,1.2353,0,1
-16,1.6765,0,1
-15,1.8235,0,1
-14,2.0588,0,1
-13,2.5882,0,1
-12,3,0,1
-11,3.4118,0,1
-10,4.6471,0,1
-9,4.9412,0,1
-8,5.9118,0,1
-7,7.7059,0,1
-6,9.3824,0,1
-5,11.7353,0,1
-4,14.7353,0,1
-3,16.7353,0,1
-2,17.1471,0,1
-1,18,0,1
0,19,0,1
1,17.1765,0,1
2,17.3529,0,1
3,17.4412,0,1
4,16.0588,0,1
5,12.7059,0,1
6,11,0,1
7,8.9118,0,1
8,6.3235,0,1
9,4.9706,0,1
10,3.9412,0,1
11,3.3529,0,1
12,2.8824,0,1
13,2.7647,0,1
14,2.5294,0,1
15,2.2353,0,1
16,1.9706,0,1
17,1.8529,0,1
18,2.2941,0,1
19,2.1176,0,1
