Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-25,4.00306666667,0.138279800887,3
-24,4.2755,0.230886097459,3
-23,4.52366666667,0.194325611625,3
-22,4.949,0.274225071793,3
-21,5.27746666667,0.424920949511,3
-20,5.8673,0.403103001725,3
-19,6.25323333333,0.649833781311,3
-18,6.8599,0.870551015162,3
-17,7.76063333333,0.467444994982,3
-16,8.42706666667,0.805162153441,3
-15,9.0094,0.998341364464,3
-14,9.94856666667,0.821051790896,3
-13,11.5222333333,0.86514220989,3
-12,12.9870333333,1.32569497372,3
-11,14.5252333333,1.44104391444,3
-10,16.6999666667,1.58894424173,3
-9,19.1984,2.54495482868,3
-8,22.1720333333,4.03679087932,3
-7,26.9385,5.66204709005,3
-6,34.5762,8.17864577971,3
-5,45.2756333333,10.6203462619,3
-4,58.1395666667,10.2333237202,3
-3,65.2886666667,8.2639643963,3
-2,68.437,6.31951105387,3
-1,69.0056666667,6.93414833151,3
0,69.4859333333,7.44746657618,3
1,69.9436666667,5.09266846489,3
2,68.0693,2.72384448345,3
3,65.2581333333,1.28414543699,3
4,60.5358333333,2.03375370764,3
5,51.1144666667,1.64880194485,3
6,41.8495333333,1.47323364519,3
7,32.6132,1.30931572968,3
8,26.6334333333,1.80688324009,3
9,21.9112666667,2.55051423116,3
10,18.2417333333,1.93076480788,3
11,15.8406,1.51023239271,3
12,14.3468,1.28271925611,3
13,12.7060333333,1.03840159059,3
14,10.9490333333,0.646397527326,3
15,9.85303333333,0.423968163113,3
16,8.44103333333,0.800079685615,3
17,7.12176666667,1.14261338314,3
18,6.38003333333,1.30933280847,3
19,5.8604,0.993202562421,3
20,5.5194,0.884820818019,3
21,5.09886666667,0.788438788577,3
22,4.96566666667,0.801593022258,3
23,4.43423333333,0.568680616281,3
24,4.15343333333,0.682342775541,3
25,3.98846666667,0.432003996895,3
26,3.83133333333,0.163382812234,3
27,3.46803333333,0.251304841444,3
28,2.94286666667,0.251244111042,3
