tension,debit,n_fichiers,baseline_mean,baseline_std,a1_mean,a1_std,mu1_mean,mu1_std,sigma1_mean,sigma1_std,a2_mean,a2_std,mu2_mean,mu2_std,sigma2_mean,sigma2_std,i_max_mean,i_max_std,x_i_max_mean,x_i_max_std,sigma_dom_mean,sigma_dom_std,largeur_mh_mean,largeur_mh_std,sigma_eff_mean,sigma_eff_std
5800.0,15.0,3,-0.024290610776606658,0.41222402765532307,2.199650757435132,0.982234275114189,37.19582735298902,6.619695070668398,6.8635005367614275,4.082094495631005,1.3443425312951442,1.2986139210337344,65.61041701236091,26.02170529287482,45.49500102035186,73.64862614992587,3.2577411980655335,1.0345236713090251,39.16094253640102,3.463020637350347,4.742699151122027,0.6813406549312871,11.168203028613418,1.6044346317267095,12.91178263326448,4.024945600223693
5800.0,30.0,3,0.8503249974699733,0.38024498957482866,22.693755692161954,5.320419026412906,37.762913741274154,5.095473615286735,4.94460782195435,0.338792536676148,5.568858827020996,1.2602943420768304,38.64798716285494,4.9227533137979504,15.084637799560227,2.374786941522948,29.08508145935308,4.405141388831563,37.79226408802935,5.085864476269369,4.94460782195435,0.338792536676148,11.643661613954928,0.7977954564718762,10.892364970487314,0.8261440138899521
5800.0,45.0,3,0.33179606511335674,3.389032390164508,27.497387603487102,17.923860544473744,28.35257967139459,4.130097168525881,8.226069509771957,6.090816155540234,23.12750602894751,15.780348783104259,30.002108471834323,3.411575332732069,13.177668567774923,10.985129640714023,50.86962122518242,7.312956311677548,29.211403801267085,2.7662313023251643,4.7658667333881395,0.43237121560048974,11.22275851572856,1.0181564053904317,6.90226135810694,5.566429104425275
5800.0,60.0,3,2.919130622615804,0.9391889092735382,20.47498351269659,21.508667875822386,23.176743716376773,6.631381649289285,5.95025731191539,4.145266935736457,37.1038742871818,20.164652855421576,29.056234023894163,2.6549928320346075,6.773594095787502,3.2195642157712916,59.88993536173394,2.1659381610266273,28.76381015894187,3.0867149503176643,4.698563621771245,0.8238405747154,11.064271799400144,1.9399962992496407,8.78520826081697,0.6636418786418125
5840.0,15.0,3,0.033943740439851634,0.37956668310538594,2.3729793067582627,1.1766460899411681,32.08418556868515,4.975153672863251,7.895256605964387,8.577738014133113,4.77771119413411,2.4472634081212936,38.85201049715955,7.377809508766246,6.5206024570074845,2.6015207272480145,6.682006647616323,1.367077336894641,37.97499166388796,7.4001961659950295,4.571053590127724,1.9008895838110293,10.764008620943448,4.47625289534875,6.768457105106627,3.3540353943552126
5840.0,30.0,3,1.6482596486250607,1.3887037647817542,2.1051272722092382,3.646187391730975,12.143566697956993,21.033274505611907,6.59617456954335,10.558883818889615,30.969806212881934,2.8606509147800074,41.808638632755965,7.577365881227162,5.6961467409784285,0.40969306948864026,34.7227393512917,1.085713496044547,41.81238190507948,7.572766878578931,5.6961467409784285,0.40969306948864026,13.413400525093719,0.964753452342108,11.549181574015728,3.817765418457679
5840.0,45.0,3,0.5918929262710492,1.7026135767496149,28.22411996615506,15.91464134675386,26.435760658750656,4.0623373139934555,8.379918568182836,5.627882799523205,20.667249037509876,20.525629259345433,27.33826437514249,4.402944122319834,12.137753248060664,7.631790507919887,49.45473079690539,6.526690378852382,26.785484050238967,3.6580849948622225,4.997160560123109,0.24103184183637877,11.767413855215983,0.5675866126470336,8.285947328842331,2.8747640367079814
5840.0,60.0,3,0.5873045658286783,2.521797211679526,12.953727356666692,5.0533002668792895,30.502621845925955,3.1812607987212442,16.20462136563501,6.737475568544807,48.666983477794304,4.607531003019651,31.667172295681056,3.2772449263289056,4.66241646429304,0.19165760316490532,61.97448271598601,10.438260840449876,31.6055351783928,3.241184559845514,4.66241646429304,0.19165760316490532,10.979151748399575,0.4513191657153057,6.919800543006198,3.0857900589930756
5880.0,15.0,3,0.44723304361054345,0.21640438787373273,3.9574080120204123,4.492532434087075,24.365754400460123,22.008424918864186,6.0375973698294265,6.510241522573805,8.638079703845339,3.053455394053715,38.60779005734978,5.085552877538933,8.514689070844696,4.364319029407696,13.000548216508207,2.4246073337027316,38.20729131932866,4.551309459017333,5.623267796830223,2.1357882998152826,13.241783726552834,5.029397100347598,10.870484326034644,1.4386072974361552
5880.0,30.0,3,1.01415808000265,0.328066886567838,15.424950136109251,14.24057598287665,38.66730056927665,4.1496092565625355,12.013842767850635,6.097522623570497,25.806075742222827,16.901462303051055,39.95243247971686,3.51909985263756,8.329529403467562,5.555231671207065,42.21253370348801,2.9261425717779628,39.78392797599199,3.3055602558400037,5.126561934352197,0.14410802032138215,12.072130805105191,0.33934845490251814,9.718117849283882,0.16972598845957634
