tension,fichier,x_max_data_px,max_data_gray,x_max_fit_px,max_fit_gray,gauss_1_sigma,gauss_1_sigma_error,gauss_2_sigma,gauss_2_sigma_error,gauss_1_mu,gauss_1_mu_error,gauss_2_mu,gauss_2_mu_error,chi2,chi2_reduced,sigma_x_px
5600,5600-40.csv,26.0,1.82222,22.212737579193064,1.7859674302510533,5.61171103347,0.215606191408,2.03290240989,1.70146053147,22.2121232291,0.156287737481,39.5381630294,1.56070175537,3071.31338906,80.8240365541,1.0
5620,5620-40.csv,26.0,4.78261,27.26908969656552,3.9540238107688417,7.50556209656,0.409199148377,0.500000000359,0.0,27.2721775203,0.317798061737,9.36402843289e-14,0.0,1273775.07895,23588.4273879,1.0
5640,5640-40.csv,14.0,6.71739,15.171723907969323,6.327423709622346,4.6547952633,0.244626464874,1.02892478845,0.684558253782,15.1759060624,0.170344777025,30.4983411125,0.619805972727,16562.4223589,571.118012377,1.0
5660,5660-40.csv,18.0,19.0,18.210070023341114,18.908243234134144,5.07212300979,0.11325133148,0.500000005894,0.0,18.2149928949,0.0824566455455,2.40302247457e-13,0.0,2349.03879194,75.7754449011,1.0
5680,5680-40.csv,25.0,19.5833,23.65188396132044,18.177864854939624,4.73517296663,0.13005026067,0.500000093191,0.0,23.6558072189,0.109590496256,1.00894221452e-11,0.0,104257107.219,2606427.68048,1.0
5700,5700-40.csv,21.0,27.7368,19.872624208069357,28.47681935780277,4.4716903255,0.208683813699,52.5119586796,531.742772074,19.8386033217,0.114602897291,21.4917441167,0.628849650808,221.405555464,6.15015431846,1.0
5720,5720-40.csv,19.0,32.5909,20.274091363787928,31.153050823905616,4.37382106781,0.147391370408,0.500000046159,0.0,20.2681878063,0.124664365672,8.12812297759e-14,0.0,287337839.908,7765887.56508,1.0
5740,5740-40.csv,25.0,41.0488,23.351117039013,41.05381569603047,3.79269854573,0.214512317126,11.1701527159,3.37971705968,23.3682518113,0.0990799116535,22.7983142807,0.512825606841,42.1476969472,1.02799260847,1.0
5760,5760-40.csv,19.0,51.5278,19.382460820273426,51.4326604561007,14.6797010633,4.88514565101,3.79351728719,0.086929906747,20.1816095073,0.260093275652,19.3566804151,0.0397550496518,11.8006773462,0.327796592949,1.0
5780,5780-40.csv,21.0,42.74,20.323441147049017,42.24030026553967,4.39507093953,0.127713642324,68.9999738156,828.450733117,20.3174063986,0.0602518122871,21.1153495742,0.68950708367,29.7472653351,0.743681633377,1.0
5800,5800-40.csv,28.0,63.619,28.2974324774925,64.00700556972731,3.75310959492,0.110320024516,8.92258115139,0.659265356743,28.359885095,0.0527271570827,27.4784512342,0.21199011561,112.670207844,2.44935234444,1.0
