Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-34,0.555633333333,0.159459127469,3
-33,0.7789,0.218660558858,3
-32,0.901433333333,0.190386878049,3
-31,0.830633333333,0.139210859251,3
-30,0.972733333333,0.118535114347,3
-29,1.18643333333,0.114563577691,3
-28,1.3013,0.214540229328,3
-27,1.42333333333,0.207939566541,3
-26,1.44546666667,0.0782397171092,3
-25,1.6012,0.185248508766,3
-24,1.49133333333,0.149164350075,3
-23,1.5558,0.205852471445,3
-22,1.74923333333,0.322482252742,3
-21,2.0134,0.344622242463,3
-20,2.20836666667,0.39570812897,3
-19,2.36653333333,0.527552389184,3
-18,2.7143,0.565351678161,3
-17,2.92896666667,0.362716726018,3
-16,3.1979,0.657329871526,3
-15,3.54963333333,0.834832691821,3
-14,3.7043,0.677884857479,3
-13,3.89036666667,0.498057349442,3
-12,4.59433333333,0.264112879908,3
-11,5.24033333333,0.412122764881,3
-10,5.72683333333,0.91698599953,3
-9,6.18196666667,1.05766403141,3
-8,6.9658,1.73421438409,3
-7,8.58633333333,2.44849834456,3
-6,11.0193666667,3.76862940117,3
-5,13.7069,4.26488878753,3
-4,16.6065,5.01418435142,3
-3,19.9367333333,4.73904888911,3
-2,21.4211,4.20911434033,3
-1,21.962,4.34981313507,3
0,22.5849666667,4.83120166246,3
1,21.7119666667,5.22314009226,3
2,21.4249,5.11878165582,3
3,20.5074,4.38239127988,3
4,18.1065666667,3.77725219748,3
5,15.5782,4.41120737554,3
6,13.9111666667,4.46599891887,3
7,11.7866666667,3.3858257373,3
8,9.98263333333,3.13299376688,3
9,8.45756666667,2.86474341318,3
10,7.05133333333,2.30689749303,3
11,6.21006666667,1.90016220448,3
12,5.69853333333,1.59344163474,3
13,4.84626666667,1.38946148321,3
14,4.22923333333,1.39089074098,3
15,3.7193,0.753643078652,3
16,3.05116666667,0.646764101766,3
17,2.66336666667,0.741825534296,3
18,2.36606666667,0.357116316252,3
19,2.1301,0.211273377405,3
20,2.09393333333,0.179308235542,3
21,1.98023333333,0.299839062387,3
22,2.15076666667,0.411100405416,3
23,1.9694,0.367305472325,3
24,1.91386666667,0.345848309716,3
25,1.73826666667,0.379042877961,3
26,1.7039,0.562905436108,3
27,1.6153,0.528746356961,3
28,1.48293333333,0.246069610747,3
29,1.4061,0.166516335535,3
30,1.23513333333,0.0650121783463,3
31,1.0188,0.135965914846,3
