Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-31,2.18253333333,0.212657055687,3
-30,2.26096666667,0.0579338703466,3
-29,2.56556666667,0.0706279217685,3
-28,2.83603333333,0.0835095403731,3
-27,3.05116666667,0.117128576075,3
-26,3.21743333333,0.143730523318,3
-25,3.39793333333,0.209031345337,3
-24,3.8884,0.391531773934,3
-23,4.416,0.438570667054,3
-22,4.67193333333,0.195550155544,3
-21,4.97263333333,0.198960858797,3
-20,5.3022,0.284128421669,3
-19,5.50856666667,0.048792451602,3
-18,5.79053333333,0.422749244036,3
-17,6.58523333333,1.00273883107,3
-16,7.1828,1.35012867165,3
-15,7.4194,0.757642686231,3
-14,8.05996666667,0.485713056581,3
-13,8.8249,0.72759767042,3
-12,10.0252333333,1.17177419469,3
-11,11.5627,1.71655290335,3
-10,13.7197666667,2.56875038167,3
-9,15.603,2.87379881516,3
-8,18.1445666667,4.27727934245,3
-7,21.6462666667,5.69959088386,3
-6,27.3515333333,7.58004106871,3
-5,35.5967,7.82067563066,3
-4,44.3831333333,6.46092852641,3
-3,50.8834333333,4.91414955443,3
-2,54.0215666667,2.61791127874,3
-1,53.9843666667,3.02316910598,3
0,53.4811333333,5.37516160625,3
1,54.5967666667,4.91094940448,3
2,54.3178333333,5.0320401681,3
3,53.8298666667,5.52341935791,3
4,49.2604666667,3.93995338847,3
5,43.8252666667,3.37132385916,3
6,34.6664333333,3.15337256336,3
7,27.9459333333,4.20155086764,3
8,22.3121666667,3.96449513095,3
9,18.3320333333,2.37762375984,3
10,15.5019666667,1.47180211419,3
11,13.2118666667,1.59724177986,3
12,11.7839,1.36414690191,3
13,10.3301666667,1.25263286853,3
14,8.9463,0.897479559656,3
15,7.94826666667,0.603537855758,3
16,6.82506666667,0.640779215747,3
17,6.1459,0.649135910268,3
18,5.40246666667,0.791276041172,3
19,5.11186666667,0.778372181757,3
20,4.8262,0.805453915504,3
21,4.53676666667,0.81559142549,3
22,4.30346666667,0.778575303573,3
23,3.73236666667,0.549174620074,3
24,3.36006666667,0.42978740481,3
25,3.21046666667,0.346011016202,3
26,3.00863333333,0.384656786413,3
27,2.6729,0.304813008253,3
28,2.61423333333,0.601904081506,3
29,2.3926,0.550347535654,3
30,2.31223333333,0.44540571767,3
31,2.07883333333,0.467572714488,3
