section,n_gauss,param,value
best_model,2,baseline,2.93030637012
best_model,2,baseline_error,0.404806486776
best_model,2,rss,32.6640256615
best_model,2,aic,-11.6529314175
best_model,2,bic,2.13911197734
best_model,2,sigma_x,1
best_model,2,chi2,112.670207844
best_model,2,dof,46
best_model,2,chi2_reduced,2.44935234444
best_model,2,gauss_1_amplitude,43.533072387
best_model,2,gauss_1_amplitude_error,2.09487700524
best_model,2,gauss_1_mu,28.359885095
best_model,2,gauss_1_mu_error,0.0527271570827
best_model,2,gauss_1_sigma,3.75310959492
best_model,2,gauss_1_sigma_error,0.110320024516
best_model,2,gauss_2_amplitude,17.6237368216
best_model,2,gauss_2_amplitude_error,1.94474419525
best_model,2,gauss_2_mu,27.4784512342
best_model,2,gauss_2_mu_error,0.21199011561
best_model,2,gauss_2_sigma,8.92258115139
best_model,2,gauss_2_sigma_error,0.659265356743

section,n_gauss,param,value
candidate_model,2,baseline,2.93030637012
candidate_model,2,baseline_error,0.404806486776
candidate_model,2,rss,32.6640256615
candidate_model,2,aic,-11.6529314175
candidate_model,2,bic,2.13911197734
candidate_model,2,sigma_x,1
candidate_model,2,chi2,112.670207844
candidate_model,2,dof,46
candidate_model,2,chi2_reduced,2.44935234444
