Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-30,1.78866666667,0.531167434368,3
-29,2.04146666667,0.460922827959,3
-28,2.1098,0.506342542159,3
-27,2.1171,0.437007173854,3
-26,2.1761,0.431122685555,3
-25,2.5154,0.615337598396,3
-24,2.441,0.449095223755,3
-23,2.46063333333,0.311515093267,3
-22,2.6533,0.359183365428,3
-21,2.9636,0.58867895325,3
-20,3.33053333333,0.687917759135,3
-19,3.277,0.468018471858,3
-18,3.37806666667,0.419755051588,3
-17,3.71216666667,0.271341138299,3
-16,4.12756666667,0.352048296876,3
-15,4.57013333333,0.389509747418,3
-14,5.02873333333,0.546074622495,3
-13,5.6946,0.610532726396,3
-12,6.2616,0.704686547339,3
-11,6.9774,0.51810137039,3
-10,7.98103333333,0.46083008076,3
-9,9.27126666667,0.57725207954,3
-8,10.7497666667,0.165048184883,3
-7,13.0712333333,0.317158151926,3
-6,16.4047,0.821936731142,3
-5,20.9724,1.30177253005,3
-4,24.0545,2.2338592816,3
-3,26.2332,2.70446742262,3
-2,26.6522,2.01523129194,3
-1,27.0275333333,2.04981765124,3
0,28.6999,3.44094050951,3
1,28.4522666667,4.0045600162,3
2,27.8090666667,4.16053963127,3
3,26.7389666667,4.99243106145,3
4,24.2494333333,4.03015980866,3
5,21.1835,3.47718263541,3
6,17.2426666667,2.75154346928,3
7,14.4351333333,2.15834837858,3
8,12.6528666667,2.23631347609,3
9,10.3705,2.15577072297,3
10,8.68426666667,1.48269770801,3
11,7.8639,0.94777226695,3
12,7.22696666667,0.792434958425,3
13,6.0623,0.66281572854,3
14,5.5719,0.521280692142,3
15,4.98876666667,0.579519804091,3
16,4.34093333333,0.616561954173,3
17,3.76546666667,0.481731567715,3
18,3.65036666667,0.646735651819,3
19,3.81353333333,0.883449536382,3
20,3.7521,0.996671580813,3
21,3.36596666667,0.687646016009,3
22,2.86086666667,0.435602712725,3
23,2.44886666667,0.317272459147,3
24,2.38966666667,0.327745775462,3
25,2.326,0.396498562419,3
26,2.0568,0.564884970591,3
27,1.58966666667,0.427780566802,3
28,1.37176666667,0.350198634111,3
29,1.14976666667,0.290549622841,3
30,1.05346666667,0.238143682119,3
31,0.969866666667,0.0808502525249,3
32,0.9584,0.102324239553,3
33,1.04276666667,0.0628949388531,3
34,1.1929,0.0867273889841,3
35,1.09933333333,0.0463664030666,3
