Distance_(pixels),Gray_Value,Gray_Value_std,n_mesures_point
-25,3.94216666667,0.335749643832,3
-24,4.40293333333,0.251769901564,3
-23,4.51633333333,0.226542144718,3
-22,4.85126666667,0.257613690112,3
-21,5.33513333333,0.253229270293,3
-20,6.0306,0.314756524952,3
-19,6.7903,0.352434433619,3
-18,7.05176666667,0.398224689507,3
-17,7.19193333333,0.703024184032,3
-16,7.8885,0.631885060751,3
-15,8.55473333333,0.616258893107,3
-14,9.45306666667,0.86451033732,3
-13,10.8168666667,1.14484544954,3
-12,11.9705333333,1.66065422751,3
-11,13.6327333333,2.09219023115,3
-10,15.4752,2.33104103138,3
-9,18.0537333333,2.84213821327,3
-8,21.6697666667,2.96699749972,3
-7,26.0990333333,3.77915410685,3
-6,34.8249666667,4.39359967946,3
-5,45.2039666667,5.42335730368,3
-4,52.9509,6.76044445506,3
-3,60.1704666667,5.92675032909,3
-2,62.7860333333,5.90675234992,3
-1,63.2581,5.50419202881,3
0,62.9212,5.60744931052,3
1,60.8336,5.43112305053,3
2,58.5646666667,5.45871688434,3
3,56.7517333333,6.06015622351,3
4,53.3353,5.8679132543,3
5,47.8091,4.95014476859,3
6,39.0805333333,5.17586377558,3
7,30.296,4.13372595004,3
8,24.3479,2.88636932322,3
9,19.3392,1.91514155874,3
10,15.7945333333,1.52894794003,3
11,14.0137666667,1.28339951821,3
12,12.4928,0.969814765819,3
13,11.1784,0.780951848708,3
14,10.2296666667,1.05942277837,3
15,9.0262,0.904158564633,3
16,7.683,0.458559309141,3
17,6.4415,0.522412375428,3
18,5.97306666667,0.430080949745,3
19,5.82823333333,0.539889186161,3
20,5.3531,0.405585367093,3
21,4.9036,0.183224807272,3
22,4.64786666667,0.228507337592,3
23,4.31606666667,0.274561201435,3
24,4.43476666667,0.496948652612,3
25,4.42096666667,0.576270165229,3
26,3.73103333333,0.197791059791,3
27,3.3325,0.315263239214,3
