param,value,error
baseline,-50.73688707022365,1094.9013174425586
gauss_1_amplitude,22.30485615735726,1.436107000548501
gauss_1_mu,19.838601684798164,0.11460370827817636
gauss_1_sigma,4.47169039028374,0.20868412352661544
gauss_2_amplitude,56.93655403049485,1093.5519282284743
gauss_2_mu,21.49174804623855,0.628850222738165
gauss_2_sigma,52.51194907626893,531.7370826038032
sigma_x,1.0,0.0
chi2,221.40073777889782,0.0
dof,36,0.0
chi2_reduced,6.150020493858273,0.0
rmse,0.8085336631283806,0.0
